x1, y1, sigma1, angle1, t1_x, t1_y, theta1, x2, y2, sigma2, angle2, t2_x, t2_y, theta2
1466.46,4.10114,8.0617e+06,89.8835,1,2.61757,91.2222,1163.66,574.84,4.12954e+06,204.341,1,2.61757,68.4167
538.932,484.608,6.22643e+06,120.576,1,5.18168,79.5379,563.414,506.067,5.37446e+06,117.081,1,5.18168,90.9004
1212.11,543.744,7.01312e+06,262.648,1,5.18168,0,1256.21,560.357,8.7168e+06,266.302,1,5.18168,0
728.867,485.277,1.62537e+07,267.073,1,2.61757,91.2222,775.163,503.68,1.46153e+07,268.407,1,2.61757,91.2222
1680.9,13.4737,6.3575e+06,288.205,1,5.18168,79.5379,1284.21,1996.7,7.0784e+06,64.0171,1,5.18168,90.9004
1629.47,340.416,5.96454e+06,99.2661,1,5.18168,113.626,1645.55,424.975,1.50085e+07,88.0938,1,5.18168,113.626
833.921,485.332,8.45491e+06,88.7296,1,5.18168,45.4502,973.03,716.108,5.11232e+06,90.3146,1,5.18168,22.7251
303.444,1030.27,1.25181e+07,242.507,1,5.18168,124.988,447.65,1398.38,3.27706e+06,281.984,1,2.61757,22.8056
1432.79,23.0358,9.24083e+06,87.7515,1,5.18168,90.9004,1472.8,28.2625,7.07866e+06,89.0084,1,2.61757,91.2222
1469.85,24.0983,2.75277e+06,73.199,1,5.18168,102.263,853.026,555.18,3.14675e+06,240.2,1,2.61757,0
447.603,1473.96,6.75098e+06,291.147,1,2.61757,0,380.302,565.676,2.81856e+06,262.156,1,5.18168,11.3626
243.465,440.365,918015,282.98,1,1,0,976.717,709.252,2.35981e+06,97.1975,1,2.61757,0
1056.61,485.305,2.49114e+06,289.133,1,2.61757,159.639,1096.63,501.41,6.4233e+06,289.655,1,2.61757,159.639
1378.98,485.385,6.35776e+06,109.456,1,5.18168,113.626,1425.02,501.515,1.83578e+06,110.94,1,5.18168,113.626
851.926,606.108,5.04679e+06,83.0044,1,5.18168,147.713,884.333,627.794,5.96429e+06,75.5547,1,5.18168,147.713
405.513,544.817,1.02899e+07,208.851,1,1,0,527.669,1511.01,1.0814e+07,169.412,1,1,0
1505.54,33.0328,4.32589e+06,84.2843,1,2.61757,68.4167,33.9469,676.98,1.24524e+07,92.6345,1,2.61757,114.028
447.945,486.086,7.66797e+06,54.0946,1,2.61757,114.028,491.487,505.609,786688,49.8537,1,5.18168,124.988
82.0195,342.201,1.4615e+07,105.871,1,2.61757,68.4167,126.967,339.09,1.4484e+07,97.5975,1,5.18168,79.5379
597.402,485.641,656130,308.348,1,2.61757,45.6111,642.315,500.217,787202,310.739,1,2.61757,45.6111
1652.9,33.6502,8.58547e+06,115.57,1,5.18168,79.5379,1670.54,63.9514,1.20594e+07,257.992,1,2.61757,0
867.661,441.343,1.13385e+07,77.0349,1,2.61757,0,600.597,795.533,6.03008e+06,106.63,1,2.61757,0
1114.67,544.797,7.60243e+06,249.864,1,2.61757,45.6111,409.773,436.108,1.11421e+07,59.8918,1,2.61757,91.2222
1483.34,36.0685,1.37631e+07,88.4576,1,5.18168,68.1753,1528.68,56.5532,1.586e+07,88.8671,1,2.61757,45.6111
1160.89,439.475,3.21178e+06,258.911,1,5.18168,68.1753,1212.81,462.532,9.8967e+06,269.155,1,5.18168,79.5379
1080.36,487.451,1.83552e+06,91.3742,1,2.61757,0,1138.68,504.546,2.81856e+06,77.0952,1,2.61757,22.8056
486.614,1221.91,6.42304e+06,221.749,1,2.61757,136.833,998.958,579.24,7.66822e+06,240.715,1,2.61757,68.4167
1110.9,485.034,7.60269e+06,303.786,1,2.61757,114.028,1146.92,502.73,1.63891e+06,309.825,1,2.61757,114.028
1561.71,341.247,3.6055e+06,22.4488,1,2.61757,91.2222,1608.21,355.624,8.78285e+06,22.6244,1,2.61757,91.2222
1450.14,439.878,7.93012e+06,252.492,1,5.18168,56.8128,168.904,320.69,3.67104e+06,60.6205,1,5.18168,90.9004
1566.35,485.659,3.73581e+06,87.8252,1,5.18168,124.988,642.337,1811.13,5.37472e+06,199.9,1,1,0
811.556,545.272,6.75123e+06,126.691,1,2.61757,68.4167,502.757,1474.98,2.03238e+06,133.058,1,5.18168,0
1563.85,440.81,1.52049e+07,272.771,1,5.18168,22.7251,450.255,1299.8,1.06176e+07,164,1,2.61757,0
1049.92,546.111,6.29223e+06,246.134,1,2.61757,91.2222,1098.74,564.546,9.24135e+06,251.28,1,2.61757,91.2222
169.594,440.861,4.26036e+06,73.8938,1,2.61757,136.833,197.661,415.278,5.43975e+06,84.3895,1,2.61757,114.028
1241.89,679.799,3.3431e+06,109.707,1,2.61757,22.8056,1968.2,940.154,525055,266.043,1,2.61757,22.8056
1143.91,546.251,1.27142e+07,273.012,1,5.18168,22.7251,447.119,473.652,3.01517e+06,101.671,1,2.61757,22.8056
511.225,893.472,3.47443e+06,61.4418,1,2.61757,0,357.174,613.788,1.10761e+07,259.199,1,5.18168,90.9004
1512.68,43.2539,1.10111e+07,55.9865,1,2.61757,68.4167,974.405,718.61,1.65156e+07,73.6284,1,5.18168,90.9004
325.849,1033.77,1.96685e+06,57.644,1,5.18168,136.351,363.625,1046.41,1.59258e+07,58.971,1,5.18168,136.351
1439.56,487.191,8.78208e+06,192.027,1,5.18168,90.9004,1481.47,502.932,1.48777e+07,193.254,1,5.18168,90.9004
1492.05,45.8795,9.83091e+06,94.2508,1,2.61757,159.639,1514.83,51.6483,5.50579e+06,90.6528,1,5.18168,170.438
19.3741,1034.85,4.85043e+06,130.049,1,1,0,1284.07,494.247,8.9792e+06,79.9788,1,5.18168,159.076
509.041,784.845,5.11258e+06,140.597,1,1,0,1894.66,1066.08,1.35012e+07,125.309,1,2.61757,136.833
424.648,1224.27,2.03213e+06,84.4943,1,2.61757,91.2222,308.207,955.242,5.96403e+06,285.168,1,5.18168,147.713
1529.28,48.7549,9.50374e+06,66.7616,1,5.18168,90.9004,521.601,1508.4,1.19941e+07,69.0311,1,5.18168,136.351
126.287,1484.09,2.42535e+06,267.784,1,2.61757,22.8056,303.549,655.66,3.99872e+06,240.073,1,2.61757,136.833
1474.75,487.769,1.38291e+07,232.183,1,2.61757,68.4167,1659.43,400.524,3.99821e+06,78.6715,1,5.18168,136.351
654.777,440.48,1.02241e+07,311.672,1,2.61757,22.8056,354.774,1460.4,3.67053e+06,322.886,1,5.18168,147.713
349.457,1229.27,4.39142e+06,90.6237,1,5.18168,22.7251,373.535,1205.21,3.80211e+06,70.7965,1,5.18168,113.626
860.496,441.991,8.9792e+06,288.597,1,5.18168,90.9004,965.988,793.406,721664,260.129,1,1,0
1281.07,489.317,1.0421e+07,81.0723,1,5.18168,159.076,1831.04,204.434,8.45491e+06,119.549,1,5.18168,56.8128
1502.19,50.735,1.04205e+07,93.6645,1,5.18168,136.351,1551.3,70.7446,8.91315e+06,90.4871,1,5.18168,136.351
1209.4,548.1,7.99642e+06,103.606,1,5.18168,45.4502,1252.49,563.864,6.94784e+06,107.435,1,5.18168,45.4502
900.293,443.201,7.01312e+06,294.333,1,2.61757,114.028,942.219,457.811,4.85043e+06,293.187,1,2.61757,114.028
1495.91,52.7226,4.85018e+06,294.224,1,5.18168,170.438,1508.97,35.4181,7.9959e+06,109.392,1,5.18168,11.3626
393.382,1232.33,1.2457e+06,102.939,1,5.18168,56.8128,160.971,315.614,6.81626e+06,89.3091,1,5.18168,56.8128
1595.99,51.9117,1.37633e+07,66.7718,1,5.18168,79.5379,1635.86,70.1179,8.32384e+06,68.5905,1,5.18168,79.5379
1473.6,53.5422,1.31082e+07,122.914,1,2.61757,136.833,79.0982,301.942,3.14598e+06,84.3992,1,5.18168,136.351
480.863,488.555,6.29171e+06,78.6559,1,2.61757,22.8056,522.44,501.867,7.73402e+06,82.8335,1,5.18168,22.7251
