x1,y1,sigma1,x2,y2,sigma2
1400.77001953,5.16852998734,2.66387009621,1400.77001953,5.16852998734,2.66387009621
178.796005249,6.62488985062,2.01248002052,178.796005249,6.62488985062,2.01248002052
1390.68994141,6.76061010361,2.67311000824,1390.68994141,6.76061010361,2.67311000824
1449.9699707,7.8740901947,2.77092003822,1449.9699707,7.8740901947,2.77092003822
1370.11999512,9.24207019806,2.67058992386,1370.11999512,9.24207019806,2.67058992386
1454.33996582,9.06939029694,5.43835020065,1454.33996582,9.06939029694,5.43835020065
1364.0300293,9.8893404007,2.04517006874,1364.0300293,9.8893404007,2.04517006874
1306.30004883,13.0068998337,5.59322023392,1306.30004883,13.0068998337,5.59322023392
1372.45996094,13.8684997559,5.32286977768,1372.45996094,13.8684997559,5.32286977768
1398.33996582,14.2938995361,5.94085979462,1398.33996582,14.2938995361,5.94085979462
167.352996826,14.7299003601,2.56229996681,167.352996826,14.7299003601,2.56229996681
1390.15002441,14.772600174,2.74780988693,1390.15002441,14.772600174,2.74780988693
1326.77001953,16.2562999725,2.44092011452,1326.77001953,16.2562999725,2.44092011452
223.572998047,17.41340065,2.44707989693,223.572998047,17.41340065,2.44707989693
1358.44995117,17.5095996857,4.11445999146,1358.44995117,17.5095996857,4.11445999146
1407.19995117,18.5918006897,9.74839019775,1407.19995117,18.5918006897,9.74839019775
1310.40002441,20.4811992645,2.06665992737,1310.40002441,20.4811992645,2.06665992737
137.070999146,21.8355007172,4.83615016937,137.070999146,21.8355007172,4.83615016937
172.940994263,20.9232997894,2.04200005531,172.940994263,20.9232997894,2.04200005531
216.60899353,22.236000061,4.59091997147,216.60899353,22.236000061,4.59091997147
1318.11999512,21.5834007263,2.55015993118,1318.11999512,21.5834007263,2.55015993118
241.093994141,23.5809001923,2.50589990616,241.093994141,23.5809001923,2.50589990616
1376.56994629,24.2665996552,10.3612003326,1376.56994629,24.2665996552,10.3612003326
1468.48999023,24.0380001068,4.16350984573,1468.48999023,24.0380001068,4.16350984573
407.838012695,25.419500351,5.37076997757,407.838012695,25.419500351,5.37076997757
1325.57995605,25.1996002197,2.62607002258,1325.57995605,25.1996002197,2.62607002258
1385.84997559,24.9111003876,4.16527986526,1385.84997559,24.9111003876,4.16527986526
1429.32995605,24.6551990509,2.16708993912,1429.32995605,24.6551990509,2.16708993912
1311.31994629,26.3442001343,2.59933996201,1311.31994629,26.3442001343,2.59933996201
1351.16003418,25.5030994415,2.50508999825,1351.16003418,25.5030994415,2.50508999825
1439.88000488,25.9403991699,3.98814988136,1439.88000488,25.9403991699,3.98814988136
1418.84997559,28.9703006744,4.07313013077,1418.84997559,28.9703006744,4.07313013077
180.848999023,29.2560997009,2.44897007942,180.848999023,29.2560997009,2.44897007942
380.821990967,29.3311004639,21.2133998871,380.821990967,29.3311004639,21.2133998871
1451.31005859,29.1725006104,2.8631401062,1451.31005859,29.1725006104,2.8631401062
919.203979492,30.1713008881,21.1821994781,919.203979492,30.1713008881,21.1821994781
1319.67004395,30.3124008179,2.68121004105,1319.67004395,30.3124008179,2.68121004105
1353.73999023,30.4528007507,2.7664899826,1353.73999023,30.4528007507,2.7664899826
1512.97998047,29.573299408,5.32769012451,1512.97998047,29.573299408,5.32769012451
724.50201416,30.6191997528,5.1329498291,724.50201416,30.6191997528,5.1329498291
1306.65002441,30.738199234,32.173500061,1306.65002441,30.738199234,32.173500061
1454.95996094,31.1942005157,4.87781000137,1454.95996094,31.1942005157,4.87781000137
1164.7199707,32.2681999207,21.0683994293,1164.7199707,32.2681999207,21.0683994293
1324.93994141,30.7810993195,2.05733990669,1324.93994141,30.7810993195,2.05733990669
1341.44995117,31.8083992004,5.30093002319,1341.44995117,31.8083992004,5.30093002319
1374.14001465,32.2774009705,2.13919997215,1374.14001465,32.2774009705,2.13919997215
1459.88000488,32.2308006287,2.70541000366,1459.88000488,32.2308006287,2.70541000366
1526.15002441,32.3464012146,20.2159004211,1526.15002441,32.3464012146,20.2159004211
579.710021973,32.8286018372,5.39940977097,579.710021973,32.8286018372,5.39940977097
720.247009277,32.5163002014,2.67549991608,720.247009277,32.5163002014,2.67549991608
1043.11999512,33.190700531,21.0604000092,1043.11999512,33.190700531,21.0604000092
1299.89001465,32.8880996704,5.29635000229,1299.89001465,32.8880996704,5.29635000229
1312.89001465,32.5862007141,2.64204001427,1312.89001465,32.5862007141,2.64204001427
1465.13000488,33.0750999451,16.3610992432,1465.13000488,33.0750999451,16.3610992432
1501.63000488,32.8658981323,7.9564499855,1501.63000488,32.8658981323,7.9564499855
1382.39001465,33.788898468,2.68343997002,1382.39001465,33.788898468,2.68343997002
1712.86999512,33.6403999329,19.2844009399,1712.86999512,33.6403999329,19.2844009399
218.533996582,34.84349823,5.65302991867,218.533996582,34.84349823,5.65302991867
232.541000366,34.5833015442,2.48774003983,232.541000366,34.5833015442,2.48774003983
242.615997314,34.6081008911,2.08841991425,242.615997314,34.6081008911,2.08841991425
258.777008057,34.6941986084,2.82494997978,258.777008057,34.6941986084,2.82494997978
712.601989746,35.4028015137,5.19234991074,712.601989746,35.4028015137,5.19234991074
185.692993164,35.7550010681,2.096159935,185.692993164,35.7550010681,2.096159935
244.501998901,35.8866996765,2.09910988808,244.501998901,35.8866996765,2.09910988808
1226.04003906,35.5355987549,5.50902986526,1226.04003906,35.5355987549,5.50902986526
1396.9699707,36.1320991516,3.94235992432,1396.9699707,36.1320991516,3.94235992432
1261.84997559,39.3897018433,4.25030994415,1261.84997559,39.3897018433,4.25030994415
1297.82995605,36.712600708,16.1592006683,1297.82995605,36.712600708,16.1592006683
271.493988037,37.5387992859,2.53260993958,271.493988037,37.5387992859,2.53260993958
1348.7199707,38.0906982422,16.6114006042,1348.7199707,38.0906982422,16.6114006042
1405.13000488,38.0796012878,2.03143000603,1405.13000488,38.0796012878,2.03143000603
267.57598877,39.6800994873,4.96135997772,267.57598877,39.6800994873,4.96135997772
1328.0,38.775100708,2.08402991295,1328.0,38.775100708,2.08402991295
234.802993774,40.1710014343,2.07390999794,234.802993774,40.1710014343,2.07390999794
328.861999512,40.4901008606,2.52374005318,328.861999512,40.4901008606,2.52374005318
339.407989502,40.2816009521,21.339099884,339.407989502,40.2816009521,21.339099884
222.412002563,40.7495002747,2.26025009155,222.412002563,40.7495002747,2.26025009155
230.981002808,40.5866012573,7.65761995316,230.981002808,40.5866012573,7.65761995316
1376.38000488,40.563999176,8.31268978119,1376.38000488,40.563999176,8.31268978119
1419.57995605,43.089099884,4.7420501709,1419.57995605,43.089099884,4.7420501709
1536.33996582,40.6311988831,21.0907001495,1536.33996582,40.6311988831,21.0907001495
